AACSL	empty	AACSP1 (Acetoacetyl-CoA Synthetase Pseudogene 1) is a Pseudogene.	empty	diff
ACVRL1	This gene encodes a type I cell-surface receptor for the TGF-beta superfamily of ligands. It shares with other type I receptors a high degree of similarity in serine-threonine kinase subdomains, a glycine- and serine-rich region (called the GS domain) preceding the kinase domain, and a short C-terminal tail. The encoded protein, sometimes termed ALK1, shares similar domain structures with other closely related ALK or activin receptor-like kinase proteins that form a subfamily of receptor serine/threonine kinases. Mutations in this gene are associated with hemorrhagic telangiectasia type 2, also known as Rendu-Osler-Weber syndrome 2. [provided by RefSeq, Jul 2008]	ACVRL1 (Activin A Receptor Type II-Like 1) is a Protein Coding gene. Diseases associated with ACVRL1 include telangiectasia, hereditary hemorrhagic, type 2 and acvrl1-related hereditary hemorrhagic telangiectasia. Among its related pathways are Akt Signaling and Akt Signaling. GO annotations related to this gene include protein serine/threonine kinase activity and SMAD binding. An important paralog of this gene is TGFBR2.	Type I receptor for TGF-beta family ligands BMP9/GDF2 and BMP10 and important regulator of normal blood vessel development. On ligand binding, forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate, then bind and activate SMAD transcriptional regulators. May bind activin as well.	same
ACTR2	The specific function of this gene has not yet been determined; however, the protein it encodes is known to be a major constituent of the ARP2/3 complex. This complex is located at the cell surface and is essential to cell shape and motility through lamellipodial actin assembly and protrusion. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]	ACTR2 (ARP2 Actin-Related Protein 2 Homolog (Yeast)) is a Protein Coding gene. Diseases associated with ACTR2 include wiskott-aldrich syndrome. Among its related pathways are RhoGDI Pathway and ERK Signaling. GO annotations related to this gene include actin binding. An important paralog of this gene is ACTL7B.	Functions as ATP-binding component of the Arp2/3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks. Seems to contact the pointed end of the daughter actin filament.	same
ACTRT1	This gene encodes a protein related to the cytoskeletal protein beta-actin. This protein is a major component of the calyx in the perinuclear theca of mammalian sperm heads, and it therefore likely functions in spermatid formation. This gene is intronless and is similar to a related gene located on chromosome 1. A related pseudogene has also been identified approximately 75 kb downstream of this gene on chromosome X. [provided by RefSeq, May 2010]	ACTRT1 (Actin-Related Protein T1) is a Protein Coding gene. Among its related pathways are PAK Pathway and Phospholipase-C Pathway. An important paralog of this gene is ACTB.	empty	same
ADAD1	empty	ADAD1 (Adenosine Deaminase Domain Containing 1 (Testis-Specific)) is a Protein Coding gene. GO annotations related to this gene include RNA binding and adenosine deaminase activity. An important paralog of this gene is ADARB2.	Plays a role in spermatogenesis. Binds to RNA but not to DNA (By similarity).	same
ACTR5	empty	ACTR5 (ARP5 Actin-Related Protein 5 Homolog (Yeast)) is a Protein Coding gene.	Proposed core component of the chromatin remodeling INO80 complex which is involved in transcriptional regulation, DNA replication and probably DNA repair. Involved in DNA double-strand break repair and UV-damage excision repair.	same
ADAM10	Members of the ADAM family are cell surface proteins with a unique structure possessing both potential adhesion and protease domains. This gene encodes and ADAM family member that cleaves many proteins including TNF-alpha and E-cadherin. [provided by RefSeq, Jul 2008]	ADAM10 (ADAM Metallopeptidase Domain 10) is a Protein Coding gene. Diseases associated with ADAM10 include reticulate acropigmentation of kitamura and alzheimer disease 18. Among its related pathways are Signaling by FGFR and Signaling by FGFR. GO annotations related to this gene include protein homodimerization activity and receptor binding. An important paralog of this gene is ADAM17.	Cleaves the membrane-bound precursor of TNF-alpha at 76-Ala- -Val-77 to its mature soluble form. Responsible for the proteolytical release of soluble JAM3 from endothelial cells surface. Responsible for the proteolytic release of several other cell-surface proteins, including heparin-binding epidermal growth-like factor, ephrin-A2 and for constitutive and regulated alpha-secretase cleavage of amyloid precursor protein (APP). Contributes to the normal cleavage of the cellular prion protein. Involved in the cleavage of the adhesion molecule L1 at the cell surface and in released membrane vesicles, suggesting a vesicle-based protease activity. Controls also the proteolytic processing of Notch and mediates lateral inhibition during neurogenesis. Responsible for the FasL ectodomain shedding and for the generation of the remnant ADAM10-processed FasL (FasL APL) transmembrane form. Also cleaves the ectodomain of the integral membrane proteins CORIN and ITM2B. May regulate the EFNA5-EPHA3 signaling.	same
ACTR3	The specific function of this gene has not yet been determined; however, the protein it encodes is known to be a major constituent of the ARP2/3 complex. This complex is located at the cell surface and is essential to cell shape and motility through lamellipodial actin assembly and protrusion. Three transcript variants encoding two different isoforms have been found for this gene. [provided by RefSeq, Mar 2013]	ACTR3 (ARP3 Actin-Related Protein 3 Homolog (Yeast)) is a Protein Coding gene. Among its related pathways are RhoGDI Pathway and ERK Signaling. GO annotations related to this gene include actin binding. An important paralog of this gene is ACTR3B.	Functions as ATP-binding component of the Arp2/3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks. Seems to contact the pointed end of the daughter actin filament. Plays a role in ciliogenesis.	same
ACVR2B	Activins are dimeric growth and differentiation factors which belong to the transforming growth factor-beta (TGF-beta) superfamily of structurally related signaling proteins. Activins signal through a heteromeric complex of receptor serine kinases which include at least two type I (I and IB) and two type II (II and IIB) receptors. These receptors are all transmembrane proteins, composed of a ligand-binding extracellular domain with cysteine-rich region, a transmembrane domain, and a cytoplasmic domain with predicted serine/threonine specificity. Type I receptors are essential for signaling; and type II receptors are required for binding ligands and for expression of type I receptors. Type I and II receptors form a stable complex after ligand binding, resulting in phosphorylation of type I receptors by type II receptors. Type II receptors are considered to be constitutively active kinases. This gene encodes activin A type IIB receptor, which displays a 3- to 4-fold higher affinity for the ligand than activin A type II receptor. [provided by RefSeq, Jul 2008]	ACVR2B (Activin A Receptor, Type IIB) is a Protein Coding gene. Diseases associated with ACVR2B include heterotaxy, visceral, 4, autosomal and acvr2b-related visceral heterotaxy. Among its related pathways are Signaling by GPCR and L1CAM interactions. GO annotations related to this gene include protein serine/threonine kinase activity and protein serine/threonine/tyrosine kinase activity. An important paralog of this gene is TGFBR2.	Transmembrane serine/threonine kinase activin type-2 receptor forming an activin receptor complex with activin type-1 serine/threonine kinase receptors (ACVR1, ACVR1B or ACVR1c). Transduces the activin signal from the cell surface to the cytoplasm and is thus regulating many physiological and pathological processes including neuronal differentiation and neuronal survival, hair follicle development and cycling, FSH production by the pituitary gland, wound healing, extracellular matrix production, immunosuppression and carcinogenesis. Activin is also thought to have a paracrine or autocrine role in follicular development in the ovary. Within the receptor complex, the type-2 receptors act as a primary activin receptors (binds activin-A/INHBA, activin-B/INHBB as well as inhibin-A/INHA-INHBA). The type-1 receptors like ACVR1B act as downstream transducers of activin signals. Activin binds to type-2 receptor at the plasma membrane and activates its serine-threonine kinase. The activated receptor type-2 then phosphorylates and activates the type-1 receptor. Once activated, the type-1 receptor binds and phosphorylates the SMAD proteins SMAD2 and SMAD3, on serine residues of the C-terminal tail. Soon after their association with the activin receptor and subsequent phosphorylation, SMAD2 and SMAD3 are released into the cytoplasm where they interact with the common partner SMAD4. This SMAD complex translocates into the nucleus where it mediates activin-induced transcription. Inhibitory SMAD7, which is recruited to ACVR1B through FKBP1A, can prevent the association of SMAD2 and SMAD3 with the activin receptor complex, thereby blocking the activin signal. Activin signal transduction is also antagonized by the binding to the receptor of inhibin-B via the IGSF1 inhibin coreceptor.	same
ACY3	empty	ACY3 (Aminoacylase 3) is a Protein Coding gene. Diseases associated with ACY3 include hepatitis c and hepatitis c virus. Among its related pathways are Alanine, aspartate and glutamate metabolism and Histidine metabolism. GO annotations related to this gene include identical protein binding and aminoacylase activity. An important paralog of this gene is ASPA.	Plays an important role in deacetylating mercapturic acids in kidney proximal tubules. Also acts on N-acetyl-aromatic amino acids (By similarity).	same
ADAM15	The protein encoded by this gene is a member of the ADAM (a disintegrin and metalloproteinase) protein family. ADAM family members are type I transmembrane glycoproteins known to be involved in cell adhesion and proteolytic ectodomain processing of cytokines and adhesion molecules. This protein contains multiple functional domains including a zinc-binding metalloprotease domain, a disintegrin-like domain, as well as a EGF-like domain. Through its disintegrin-like domain, this protein specifically interacts with the integrin beta chain, beta 3. It also interacts with Src family protein-tyrosine kinases in a phosphorylation-dependent manner, suggesting that this protein may function in cell-cell adhesion as well as in cellular signaling. Multiple alternatively spliced transcript variants encoding distinct isoforms have been observed. [provided by RefSeq, Jul 2008]	ADAM15 (ADAM Metallopeptidase Domain 15) is a Protein Coding gene. Among its related pathways are Degradation of the extracellular matrix and Notch Signaling Pathway (sino). GO annotations related to this gene include SH3 domain binding and metallopeptidase activity. An important paralog of this gene is ADAM33.	Active metalloproteinase with gelatinolytic and collagenolytic activity. Plays a role in the wound healing process. Mediates both heterotypic intraepithelial cell/T-cell interactions and homotypic T-cell aggregation. Inhibits beta-1 integrin-mediated cell adhesion and migration of airway smooth muscle cells. Suppresses cell motility on or towards fibronectin possibly by driving alpha-v/beta-1 integrin (ITAGV-ITGB1) cell surface expression via ERK1/2 inactivation. Cleaves E-cadherin in response to growth factor deprivation. Plays a role in glomerular cell migration. Plays a role in pathological neovascularization. May play a role in cartilage remodeling. May be proteolytically processed, during sperm epididymal maturation and the acrosome reaction. May play a role in sperm-egg binding through its disintegrin domain.	same
ADAM12	This gene encodes a member of a family of proteins that are structurally related to snake venom disintegrins and have been implicated in a variety of biological processes involving cell-cell and cell-matrix interactions, including fertilization, muscle development, and neurogenesis. Expression of this gene has been used as a maternal serum marker for pre-natal development. Alternative splicing results in multiple transcript variants encoding different isoforms. Shorter isoforms are secreted, while longer isoforms are membrane-bound form. [provided by RefSeq, Jan 2014]	ADAM12 (ADAM Metallopeptidase Domain 12) is a Protein Coding gene. Among its related pathways are Signaling by FGFR and Signaling by FGFR. GO annotations related to this gene include SH3 domain binding and metallopeptidase activity. An important paralog of this gene is ADAM33.	Involved in skeletal muscle regeneration, specifically at the onset of cell fusion. Also involved in macrophage-derived giant cells (MGC) and osteoclast formation from mononuclear precursors (By similarity).	same
ACYP2	Acylphosphatase can hydrolyze the phosphoenzyme intermediate of different membrane pumps, particularly the Ca2+/Mg2+-ATPase from sarcoplasmic reticulum of skeletal muscle. Two isoenzymes have been isolated, called muscle acylphosphatase and erythrocyte acylphosphatase on the basis of their tissue localization. This gene encodes the muscle-type isoform (MT). An increase of the MT isoform is associated with muscle differentiation. [provided by RefSeq, Jul 2008]	ACYP2 (Acylphosphatase 2, Muscle Type) is a Protein Coding gene. Among its related pathways are Pyruvate metabolism and Purine metabolism (KEGG). GO annotations related to this gene include acylphosphatase activity. An important paralog of this gene is ACYP1.	Its physiological role is not yet clear	same
ADAM19	This gene encodes a member of the ADAM (a disintegrin and metalloprotease domain) family. Members of this family are membrane-anchored proteins structurally related to snake venom disintegrins and have been implicated in a variety of biological processes involving cell-cell and cell-matrix interactions, including fertilization, muscle development, and neurogenesis. This member is a type I transmembrane protein and serves as a marker for dendritic cell differentiation. It has been demonstrated to be an active metalloproteinase, which may be involved in normal physiological processes such as cell migration, cell adhesion, cell-cell and cell-matrix interactions, and signal transduction. It is proposed to play a role in pathological processes, such as cancer, inflammatory diseases, renal diseases, and Alzheimer's disease. [provided by RefSeq, May 2013]	ADAM19 (ADAM Metallopeptidase Domain 19) is a Protein Coding gene. GO annotations related to this gene include SH3 domain binding and metalloendopeptidase activity. An important paralog of this gene is ADAM33.	Participates in the proteolytic processing of beta-type neuregulin isoforms which are involved in neurogenesis and synaptogenesis, suggesting a regulatory role in glial cell. Also cleaves alpha-2 macroglobulin. May be involved in osteoblast differentiation and/or osteoblast activity in bone (By similarity).	same
ADAM21P1	empty	ADAM21P1 (ADAM Metallopeptidase Domain 21 Pseudogene 1) is a Pseudogene. Diseases associated with ADAM21P1 include adult t-cell leukemia.	empty	same
ACVR2A	This gene encodes a receptor that mediates the functions of activins, which are members of the transforming growth factor-beta (TGF-beta) superfamily involved in diverse biological processes. The encoded protein is a transmembrane serine-threonine kinase receptor which mediates signaling by forming heterodimeric complexes with various combinations of type I and type II receptors and ligands in a cell-specific manner. The encoded type II receptor is primarily involved in ligand-binding and includes an extracellular ligand-binding domain, a transmembrane domain and a cytoplasmic serine-threonine kinase domain. This gene may be associated with susceptibility to preeclampsia, a pregnancy-related disease which can result in maternal and fetal morbidity and mortality. Alternative splicing results in multiple transcript variants of this gene. [provided by RefSeq, Jun 2013]	ACVR2A (Activin A Receptor, Type IIA) is a Protein Coding gene. Diseases associated with ACVR2A include multiple synostoses syndrome. Among its related pathways are Signaling by GPCR and L1CAM interactions. GO annotations related to this gene include PDZ domain binding and growth factor binding. An important paralog of this gene is TGFBR2.	On ligand binding, forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate, then bind and activate SMAD transcriptional regulators. Receptor for activin A, activin B and inhibin A	same
ADAM17	This gene encodes a member of the ADAM (a disintegrin and metalloprotease domain) family. Members of this family are membrane-anchored proteins structurally related to snake venom disintegrins, and have been implicated in a variety of biologic processes involving cell-cell and cell-matrix interactions, including fertilization, muscle development, and neurogenesis. The protein encoded by this gene functions as a tumor necrosis factor-alpha converting enzyme; binds mitotic arrest deficient 2 protein; and also plays a prominent role in the activation of the Notch signaling pathway. [provided by RefSeq, Jul 2008]	ADAM17 (ADAM Metallopeptidase Domain 17) is a Protein Coding gene. Diseases associated with ADAM17 include inflammatory skin and bowel disease, neonatal, 1 and neonatal inflammatory skin and bowel disease. Among its related pathways are PI-3K cascade and Signaling by FGFR. GO annotations related to this gene include SH3 domain binding and integrin binding. An important paralog of this gene is ADAM10.	Cleaves the membrane-bound precursor of TNF-alpha to its mature soluble form. Responsible for the proteolytical release of soluble JAM3 from endothelial cells surface. Responsible for the proteolytic release of several other cell-surface proteins, including p75 TNF-receptor, interleukin 1 receptor type II, p55 TNF-receptor, transforming growth factor-alpha, L-selectin, growth hormone receptor, MUC1 and the amyloid precursor protein. Acts as an activator of Notch pathway by mediating cleavage of Notch, generating the membrane-associated intermediate fragment called Notch extracellular truncation (NEXT). Plays a role in the proteolytic processing of ACE2.	same
ADAM21	This gene encodes a member of the ADAM (a disintegrin and metalloprotease domain) family. Members of this family are membrane-anchored proteins structurally related to snake venom disintegrins, and have been implicated in a variety of biological processes involving cell-cell and cell-matrix interactions, including fertilization, muscle development, and neurogenesis. The expression of this gene expression is testis-specific. [provided by RefSeq, May 2011]	ADAM21 (ADAM Metallopeptidase Domain 21) is a Protein Coding gene. Among its related pathways are Reproduction and Reproduction. GO annotations related to this gene include metalloendopeptidase activity and metallopeptidase activity. An important paralog of this gene is ADAM33.	May be involved in sperm maturation and/or fertilization. May also be involved in epithelia functions associated with establishing and maintaining gradients of ions or nutrients	same
ACTRT2	The protein encoded by this intronless gene belongs to the actin family. Studies have shown that this protein may be involved in cytoskeletal organization similar to other cytoplasmic actin-related protein (ARP) subfamily members. Antibody raised against the human protein has been used to detect the protein by immunoblotting and immunofluorescence microscopy, demonstrating its specific synthesis in the testis, late in spermatid differentiation, and its localization in the calyx. [provided by RefSeq, Jul 2008]	ACTRT2 (Actin-Related Protein T2) is a Protein Coding gene. An important paralog of this gene is ACTB.	empty	same
ACVR1B	This gene encodes an activin A type IB receptor. Activins are dimeric growth and differentiation factors which belong to the transforming growth factor-beta (TGF-beta) superfamily of structurally related signaling proteins. Activins signal through a heteromeric complex of receptor serine kinases which include at least two type I and two type II receptors. This protein is a type I receptor which is essential for signaling. Mutations in this gene are associated with pituitary tumors. Alternate splicing results in multiple transcript variants.[provided by RefSeq, Jun 2010]	ACVR1B (Activin A Receptor, Type IB) is a Protein Coding gene. Diseases associated with ACVR1B include pituitary tumors and pancreatic cancer. Among its related pathways are Signaling by GPCR and L1CAM interactions. GO annotations related to this gene include protein serine/threonine kinase activity and SMAD binding. An important paralog of this gene is TGFBR2.	Transmembrane serine/threonine kinase activin type-1 receptor forming an activin receptor complex with activin receptor type-2 (ACVR2A or ACVR2B). Transduces the activin signal from the cell surface to the cytoplasm and is thus regulating a many physiological and pathological processes including neuronal differentiation and neuronal survival, hair follicle development and cycling, FSH production by the pituitary gland, wound healing, extracellular matrix production, immunosuppression and carcinogenesis. Activin is also thought to have a paracrine or autocrine role in follicular development in the ovary. Within the receptor complex, type-2 receptors (ACVR2A and/or ACVR2B) act as a primary activin receptors whereas the type-1 receptors like ACVR1B act as downstream transducers of activin signals. Activin binds to type-2 receptor at the plasma membrane and activates its serine-threonine kinase. The activated receptor type-2 then phosphorylates and activates the type-1 receptor such as ACVR1B. Once activated, the type-1 receptor binds and phosphorylates the SMAD proteins SMAD2 and SMAD3, on serine residues of the C-terminal tail. Soon after their association with the activin receptor and subsequent phosphorylation, SMAD2 and SMAD3 are released into the cytoplasm where they interact with the common partner SMAD4. This SMAD complex translocates into the nucleus where it mediates activin-induced transcription. Inhibitory SMAD7, which is recruited to ACVR1B through FKBP1A, can prevent the association of SMAD2 and SMAD3 with the activin receptor complex, thereby blocking the activin signal. Activin signal transduction is also antagonized by the binding to the receptor of inhibin-B via the IGSF1 inhibin coreceptor. ACVR1B also phosphorylates TDP2.	same
ADAM18	This gene encodes a member of the ADAM (a disintegrin and metalloprotease domain) family. Members of this family are membrane-anchored proteins structurally related to snake venom disintegrins, and have been implicated in a variety of biologic processes involving cell-cell and cell-matrix interactions, including fertilization, muscle development, and neurogenesis. The protein encoded by this gene is a sperm surface protein. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2010]	ADAM18 (ADAM Metallopeptidase Domain 18) is a Protein Coding gene. GO annotations related to this gene include metalloendopeptidase activity and metallopeptidase activity. An important paralog of this gene is ADAM22.	Sperm surface membrane protein that may be involved in spermatogenesis and fertilization. This is a non catalytic metalloprotease-like protein (By similarity).	same
ADAM11	This gene encodes a member of the ADAM (a disintegrin and metalloprotease) protein family. Members of this family are membrane-anchored proteins structurally related to snake venom disintegrins, and have been implicated in a variety of biological processes involving cell-cell and cell-matrix interactions, including fertilization, muscle development, and neurogenesis. This gene represents a candidate tumor suppressor gene for human breast cancer based on its location within a minimal region of chromosome 17q21 previously defined by tumor deletion mapping. [provided by RefSeq, Dec 2014]	ADAM11 (ADAM Metallopeptidase Domain 11) is a Protein Coding gene. Diseases associated with ADAM11 include breast cancer. GO annotations related to this gene include metalloendopeptidase activity and metallopeptidase activity. An important paralog of this gene is ADAM22.	Probable ligand for integrin in the brain. This is a non catalytic metalloprotease-like protein	same
ACY1	This gene encodes a cytosolic, homodimeric, zinc-binding enzyme that catalyzes the hydrolysis of acylated L-amino acids to L-amino acids and an acyl group, and has been postulated to function in the catabolism and salvage of acylated amino acids. This gene is located on chromosome 3p21.1, a region reduced to homozygosity in small-cell lung cancer (SCLC), and its expression has been reported to be reduced or undetectable in SCLC cell lines and tumors. The amino acid sequence of human aminoacylase-1 is highly homologous to the porcine counterpart, and this enzyme is the first member of a new family of zinc-binding enzymes. Mutations in this gene cause aminoacylase-1 deficiency, a metabolic disorder characterized by central nervous system defects and increased urinary excretion of N-acetylated amino acids. Alternative splicing of this gene results in multiple transcript variants. Read-through transcription also exists between this gene and the upstream ABHD14A (abhydrolase domain containing 14A) gene, as represented in GeneID:100526760. A related pseudogene has been identified on chromosome 18. [provided by RefSeq, Nov 2010]	ACY1 (Aminoacylase 1) is a Protein Coding gene. Diseases associated with ACY1 include aminoacylase 1 deficiency and syringomyelia. Among its related pathways are Carbon metabolism and Arginine and proline metabolism. GO annotations related to this gene include metallopeptidase activity and aminoacylase activity. An important paralog of this gene is ABHD14A-ACY1.	Involved in the hydrolysis of N-acylated or N-acetylated amino acids (except L-aspartate).	same
ACYP1	This gene is a member of the acylphosphatase family. The encoded protein is a small cytosolic enzyme that catalyzes the hydrolysis of the carboxyl-phosphate bond of acylphosphates. Two isoenzymes have been isolated and described based on their tissue localization: erythrocyte (common) type acylphosphatase encoded by this gene, and muscle type acylphosphatase. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2014]	ACYP1 (Acylphosphatase 1, Erythrocyte (Common) Type) is a Protein Coding gene. Among its related pathways are Pyruvate metabolism and Purine metabolism (KEGG). GO annotations related to this gene include acylphosphatase activity. An important paralog of this gene is ACYP2.	Its physiological role is not yet clear	same
ACTR3B	This gene encodes a member of the actin-related proteins (ARP), which form multiprotein complexes and share 35-55% amino acid identity with conventional actin. The protein encoded by this gene may have a regulatory role in the actin cytoskeleton and induce cell-shape change and motility. Pseudogenes of this gene are located on chromosomes 2, 4, 10, 16, 22 and Y. Alternative splicing results in multiple transcript variants and protein isoforms. [provided by RefSeq, Jul 2012]	ACTR3B (ARP3 Actin-Related Protein 3 Homolog B (Yeast)) is a Protein Coding gene. Among its related pathways are Immune response CCR3 signaling in eosinophils and G-protein signaling RAC1 in cellular process. GO annotations related to this gene include actin binding. An important paralog of this gene is ACTR3C.	Plays a role in the organization of the actin cytoskeleton. May function as ATP-binding component of the Arp2/3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks. May decrease the metastatic potential of tumors.	same
ADAM2	This gene encodes a member of the ADAM (a disintegrin and metalloprotease domain) family. Members of this family are membrane-anchored proteins structurally related to snake venom disintegrins, and have been implicated in a variety of biological processes involving cell-cell and cell-matrix interactions, including fertilization, muscle development, and neurogenesis. The encoded protein is a subunit of an integral sperm membrane glycoprotein called fertilin, which plays an important role in sperm-egg interactions. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, May 2013]	ADAM2 (ADAM Metallopeptidase Domain 2) is a Protein Coding gene. Among its related pathways are Reproduction and Reproduction. GO annotations related to this gene include metalloendopeptidase activity and metallopeptidase activity. An important paralog of this gene is ADAM22.	Sperm surface membrane protein that may be involved in sperm-egg plasma membrane adhesion and fusion during fertilization. Could have a direct role in sperm-zona binding or migration of sperm from the uterus into the oviduct. Interactions with egg membrane could be mediated via binding between its disintegrin-like domain to one or more integrins receptors on the egg. This is a non catalytic metalloprotease-like protein	same
ADAM30	This gene encodes a member of the ADAM (a disintegrin and metalloprotease domain) family. Members of this family are membrane-anchored proteins structurally related to snake venom disintegrins, and have been implicated in a variety of biological processes involving cell-cell and cell-matrix interactions, including fertilization, muscle development, and neurogenesis. This gene is testis-specific and contains a polymorphic region, resulting in isoforms with varying numbers of C-terminal repeats. [provided by RefSeq, Jul 2008]	ADAM30 (ADAM Metallopeptidase Domain 30) is a Protein Coding gene. Among its related pathways are Reproduction and Reproduction. GO annotations related to this gene include metalloendopeptidase activity and metallopeptidase activity. An important paralog of this gene is ADAM33.	May be involved in spermatogenesis and fertilization	same
ADAD2	empty	ADAD2 (Adenosine Deaminase Domain Containing 2) is a Protein Coding gene. GO annotations related to this gene include RNA binding and adenosine deaminase activity. An important paralog of this gene is ADARB2.	empty	same
ADAM23	This gene encodes a member of the ADAM (a disintegrin and metalloprotease domain) family. Members of this family are membrane-anchored proteins structurally related to snake venom disintegrins and have been implicated in a variety of biological processes involving cell-cell and cell-matrix interactions, including fertilization, muscle development, and neurogenesis. It is reported that inactivation of this gene is associated with tumorigenesis in human cancers. [provided by RefSeq, May 2013]	ADAM23 (ADAM Metallopeptidase Domain 23) is a Protein Coding gene. GO annotations related to this gene include metalloendopeptidase activity and metallopeptidase activity. An important paralog of this gene is ADAM22.	May play a role in cell-cell and cell-matrix interactions. This is a non-catalytic metalloprotease-like protein	same
ADAM28	This gene encodes a member of the ADAM (a disintegrin and metalloprotease domain) family. Members of this family are membrane-anchored proteins structurally related to snake venom disintegrins, and have been implicated in a variety of biological processes involving cell-cell and cell-matrix interactions, including fertilization, muscle development, and neurogenesis. The protein encoded by this gene is a lymphocyte-expressed ADAM protein. This gene is present in a gene cluster with other members of the ADAM family on chromosome 8. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2015]	ADAM28 (ADAM Metallopeptidase Domain 28) is a Protein Coding gene. GO annotations related to this gene include metalloendopeptidase activity and metallopeptidase activity. An important paralog of this gene is ADAM33.	May play a role in the adhesive and proteolytic events that occur during lymphocyte emigration or may function in ectodomain shedding of lymphocyte surface target proteins, such as FASL and CD40L. May be involved in sperm maturation	same
ADAM5P	empty	ADAM5 (ADAM Metallopeptidase Domain 5 (Pseudogene)) is a Pseudogene. GO annotations related to this gene include metalloendopeptidase activity.	This is a non catalytic metalloprotease-like protein.	diff
ADAM32	empty	ADAM32 (ADAM Metallopeptidase Domain 32) is a Protein Coding gene. GO annotations related to this gene include metalloendopeptidase activity. An important paralog of this gene is ADAM22.	May play a role in sperm development and fertilization This is a non-catalytic metalloprotease-like protein.	same
ADAM33	This gene encodes a member of the ADAM (a disintegrin and metalloprotease domain) family. Members of this family are membrane-anchored proteins structurally related to snake venom disintegrins, and have been implicated in a variety of biological processes involving cell-cell and cell-matrix interactions, including fertilization, muscle development, and neurogenesis. This protein is a type I transmembrane protein implicated in asthma and bronchial hyperresponsiveness. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Sep 2013]	ADAM33 (ADAM Metallopeptidase Domain 33) is a Protein Coding gene. Diseases associated with ADAM33 include asthma. GO annotations related to this gene include metalloendopeptidase activity. An important paralog of this gene is ADAM21.	empty	same
ADAM20	This gene encodes a member of the ADAM (a disintegrin and metalloprotease domain) family. Members of this family are membrane-anchored proteins structurally related to snake venom disintegrins, and have been implicated in a variety of biological processes involving cell-cell and cell-matrix interactions, including fertilization, muscle development, and neurogenesis. The expression of this gene is testis-specific. [provided by RefSeq, Jul 2008]	ADAM20 (ADAM Metallopeptidase Domain 20) is a Protein Coding gene. Among its related pathways are Reproduction and Reproduction. GO annotations related to this gene include metalloendopeptidase activity and metallopeptidase activity. An important paralog of this gene is ADAM33.	May be involved in sperm maturation and/or fertilization	same
ADAM3A	empty	ADAM3A (ADAM Metallopeptidase Domain 3A (Pseudogene)) is a Pseudogene. Diseases associated with ADAM3A include composite lymphoma.	empty	same
ADAM7	This gene encodes a member of the ADAMs family of zinc proteases. These transmembrane proteins play roles in multiple processes including cell signaling, adhesion and migration. The encoded protein lacks protease activity and may play roles in protein-protein interactions and cell adhesion processes including sperm-egg fusion. Mutations in this gene may be involved in the progression of melanoma. [provided by RefSeq, Oct 2011]	ADAM7 (ADAM Metallopeptidase Domain 7) is a Protein Coding gene. Diseases associated with ADAM7 include melanoma. Among its related pathways are Notch Signaling Pathway (sino). GO annotations related to this gene include metalloendopeptidase activity. An important paralog of this gene is ADAM33.	May play an important role in male reproduction including sperm maturation and gonadotrope function. This is a non catalytic metalloprotease-like protein (By similarity).	same
ADAM9	This gene encodes a member of the ADAM (a disintegrin and metalloprotease domain) family. Members of this family are membrane-anchored proteins structurally related to snake venom disintegrins, and have been implicated in a variety of biological processes involving cell-cell and cell-matrix interactions, including fertilization, muscle development, and neurogenesis. The protein encoded by this gene interacts with SH3 domain-containing proteins, binds mitotic arrest deficient 2 beta protein, and is also involved in TPA-induced ectodomain shedding of membrane-anchored heparin-binding EGF-like growth factor. Several alternatively spliced transcript variants have been identified for this gene. [provided by RefSeq, Jul 2010]	ADAM9 (ADAM Metallopeptidase Domain 9) is a Protein Coding gene. Diseases associated with ADAM9 include cone-rod dystrophy 9 and myeloma. Among its related pathways are Degradation of the extracellular matrix and Cytoskeletal Signaling. GO annotations related to this gene include SH3 domain binding and integrin binding. An important paralog of this gene is ADAM33.	Probable zinc protease. May mediate cell-cell or cell-matrix interactions. Isoform 2 displays alpha-secretase activity for APP.	same
